"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2020 Week 44 ending October 31, 2020"	"2020/44"	6245	Not Applicable	Not Applicable
	"2020 Week 45 ending November 07, 2020"	"2020/45"	7827	Not Applicable	Not Applicable
	"2020 Week 46 ending November 14, 2020"	"2020/46"	9569	Not Applicable	Not Applicable
	"2020 Week 47 ending November 21, 2020"	"2020/47"	12044	Not Applicable	Not Applicable
	"2020 Week 48 ending November 28, 2020"	"2020/48"	14115	Not Applicable	Not Applicable
	"2020 Week 49 ending December 05, 2020"	"2020/49"	16817	Not Applicable	Not Applicable
	"2020 Week 50 ending December 12, 2020"	"2020/50"	19035	Not Applicable	Not Applicable
	"2020 Week 51 ending December 19, 2020"	"2020/51"	20395	Not Applicable	Not Applicable
	"2020 Week 52 ending December 26, 2020"	"2020/52"	21316	Not Applicable	Not Applicable
	"2020 Week 53 ending January 02, 2021"	"2020/53"	22701	Not Applicable	Not Applicable
	"2021 Week 01 ending January 09, 2021 (provisional)"	"2021/01"	23902	Not Applicable	Not Applicable
	"2021 Week 02 ending January 16, 2021 (provisional)"	"2021/02"	23480	Not Applicable	Not Applicable
	"2021 Week 03 ending January 23, 2021 (provisional)"	"2021/03"	21643	Not Applicable	Not Applicable
	"2021 Week 04 ending January 30, 2021 (provisional)"	"2021/04"	18403	Not Applicable	Not Applicable
	"2021 Week 05 ending February 06, 2021 (provisional)"	"2021/05"	15238	Not Applicable	Not Applicable
	"2021 Week 06 ending February 13, 2021 (provisional)"	"2021/06"	12008	Not Applicable	Not Applicable
	"2021 Week 07 ending February 20, 2021 (provisional)"	"2021/07"	9485	Not Applicable	Not Applicable
	"2021 Week 08 ending February 27, 2021 (provisional)"	"2021/08"	7508	Not Applicable	Not Applicable
	"2021 Week 09 ending March 06, 2021 (provisional)"	"2021/09"	5783	Not Applicable	Not Applicable
	"2021 Week 10 ending March 13, 2021 (provisional)"	"2021/10"	4787	Not Applicable	Not Applicable
	"2021 Week 11 ending March 20, 2021 (provisional)"	"2021/11"	4081	Not Applicable	Not Applicable
	"2021 Week 12 ending March 27, 2021 (provisional)"	"2021/12"	3778	Not Applicable	Not Applicable
	"2021 Week 13 ending April 03, 2021 (provisional)"	"2021/13"	3524	Not Applicable	Not Applicable
	"2021 Week 14 ending April 10, 2021 (provisional)"	"2021/14"	3645	Not Applicable	Not Applicable
	"2021 Week 15 ending April 17, 2021 (provisional)"	"2021/15"	3766	Not Applicable	Not Applicable
	"2021 Week 16 ending April 24, 2021 (provisional)"	"2021/16"	3931	Not Applicable	Not Applicable
	"2021 Week 17 ending May 01, 2021 (provisional)"	"2021/17"	3592	Not Applicable	Not Applicable
	"2021 Week 18 ending May 08, 2021 (provisional)"	"2021/18"	3437	Not Applicable	Not Applicable
	"2021 Week 19 ending May 15, 2021 (provisional)"	"2021/19"	3154	Not Applicable	Not Applicable
	"2021 Week 20 ending May 22, 2021 (provisional)"	"2021/20"	2746	Not Applicable	Not Applicable
	"2021 Week 21 ending May 29, 2021 (provisional)"	"2021/21"	2302	Not Applicable	Not Applicable
	"2021 Week 22 ending June 05, 2021 (provisional)"	"2021/22"	1996	Not Applicable	Not Applicable
	"2021 Week 23 ending June 12, 2021 (provisional)"	"2021/23"	1669	Not Applicable	Not Applicable
	"2021 Week 24 ending June 19, 2021 (provisional)"	"2021/24"	1427	Not Applicable	Not Applicable
	"2021 Week 25 ending June 26, 2021 (provisional)"	"2021/25"	1315	Not Applicable	Not Applicable
	"2021 Week 26 ending July 03, 2021 (provisional)"	"2021/26"	1229	Not Applicable	Not Applicable
	"2021 Week 27 ending July 10, 2021 (provisional)"	"2021/27"	1346	Not Applicable	Not Applicable
	"2021 Week 28 ending July 17, 2021 (provisional)"	"2021/28"	1693	Not Applicable	Not Applicable
	"2021 Week 29 ending July 24, 2021 (provisional)"	"2021/29"	2412	Not Applicable	Not Applicable
	"2021 Week 30 ending July 31, 2021 (provisional)"	"2021/30"	3708	Not Applicable	Not Applicable
	"2021 Week 31 ending August 07, 2021 (provisional)"	"2021/31"	5933	Not Applicable	Not Applicable
	"2021 Week 32 ending August 14, 2021 (provisional)"	"2021/32"	8752	Not Applicable	Not Applicable
	"2021 Week 33 ending August 21, 2021 (provisional)"	"2021/33"	11352	Not Applicable	Not Applicable
	"2021 Week 34 ending August 28, 2021 (provisional)"	"2021/34"	13271	Not Applicable	Not Applicable
	"2021 Week 35 ending September 04, 2021 (provisional)"	"2021/35"	14528	Not Applicable	Not Applicable
	"2021 Week 36 ending September 11, 2021 (provisional)"	"2021/36"	14446	Not Applicable	Not Applicable
	"2021 Week 37 ending September 18, 2021 (provisional)"	"2021/37"	14159	Not Applicable	Not Applicable
	"2021 Week 38 ending September 25, 2021 (provisional)"	"2021/38"	13372	Not Applicable	Not Applicable
	"2021 Week 39 ending October 02, 2021 (provisional)"	"2021/39"	11842	Not Applicable	Not Applicable
	"2021 Week 40 ending October 09, 2021 (provisional)"	"2021/40"	10288	Not Applicable	Not Applicable
	"2021 Week 41 ending October 16, 2021 (provisional)"	"2021/41"	9013	Not Applicable	Not Applicable
	"2021 Week 42 ending October 23, 2021 (provisional)"	"2021/42"	8082	Not Applicable	Not Applicable
	"2021 Week 43 ending October 30, 2021 (provisional)"	"2021/43"	7188	Not Applicable	Not Applicable
	"2021 Week 44 ending November 06, 2021 (provisional)"	"2021/44"	6496	Not Applicable	Not Applicable
	"2021 Week 45 ending November 13, 2021 (provisional)"	"2021/45"	6456	Not Applicable	Not Applicable
	"2021 Week 46 ending November 20, 2021 (provisional)"	"2021/46"	6534	Not Applicable	Not Applicable
	"2021 Week 47 ending November 27, 2021 (provisional)"	"2021/47"	7067	Not Applicable	Not Applicable
	"2021 Week 48 ending December 04, 2021 (provisional)"	"2021/48"	7982	Not Applicable	Not Applicable
	"2021 Week 49 ending December 11, 2021 (provisional)"	"2021/49"	8854	Not Applicable	Not Applicable
	"2021 Week 50 ending December 18, 2021 (provisional)"	"2021/50"	9367	Not Applicable	Not Applicable
	"2021 Week 51 ending December 25, 2021 (provisional)"	"2021/51"	9461	Not Applicable	Not Applicable
	"2021 Week 52 ending January 01, 2022 (provisional)"	"2021/52"	10479	Not Applicable	Not Applicable
	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	13241	Not Applicable	Not Applicable
	"2022 Week 02 ending January 15, 2022 (provisional)"	"2022/02"	16598	Not Applicable	Not Applicable
	"2022 Week 03 ending January 22, 2022 (provisional)"	"2022/03"	18362	Not Applicable	Not Applicable
	"2022 Week 04 ending January 29, 2022 (provisional)"	"2022/04"	17960	Not Applicable	Not Applicable
	"2022 Week 05 ending February 05, 2022 (provisional)"	"2022/05"	15740	Not Applicable	Not Applicable
	"2022 Week 06 ending February 12, 2022 (provisional)"	"2022/06"	12639	Not Applicable	Not Applicable
	"2022 Week 07 ending February 19, 2022 (provisional)"	"2022/07"	9280	Not Applicable	Not Applicable
	"2022 Week 08 ending February 26, 2022 (provisional)"	"2022/08"	6482	Not Applicable	Not Applicable
	"2022 Week 09 ending March 05, 2022 (provisional)"	"2022/09"	4608	Not Applicable	Not Applicable
	"2022 Week 10 ending March 12, 2022 (provisional)"	"2022/10"	3202	Not Applicable	Not Applicable
	"2022 Week 11 ending March 19, 2022 (provisional)"	"2022/11"	2104	Not Applicable	Not Applicable
	"2022 Week 12 ending March 26, 2022 (provisional)"	"2022/12"	1619	Not Applicable	Not Applicable
	"2022 Week 13 ending April 02, 2022 (provisional)"	"2022/13"	1142	Not Applicable	Not Applicable
