"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2020"	"2020"	"Illinois"	"17"	132663	12587530	1053.924002564
	"2020"	"2020"	"Indiana"	"18"	78194	6754953	1157.580222986
	"2020"	"2020"	"Iowa"	"19"	35981	3163561	1137.357553719
	"2020"	"2020"	"Kansas"	"20"	32060	2913805	1100.279531403
	"2020"	"2020"	"Kentucky"	"21"	55880	4477251	1248.087274982
	"2020"	"2020"	"Louisiana"	"22"	56752	4645318	1221.703228929
	"2020"	"2020"	"Maine"	"23"	15740	1350141	1165.804164158
	"2020"	"2020"	"Maryland"	"24"	60072	6055802	991.974308275
	"2020"	"2020"	"Massachusetts"	"25"	68223	6893574	989.660805846
	"2020"	"2020"	"Michigan"	"26"	117106	9966555	1174.989753230
	"2020"	"2020"	"Minnesota"	"27"	52372	5657342	925.735089022
	"2020"	"2020"	"Mississippi"	"28"	40190	2966786	1354.664610120
	"2020"	"2020"	"Missouri"	"29"	73887	6151548	1201.112305390
	"2020"	"2020"	"Montana"	"30"	12027	1080577	1113.016471755
	"2020"	"2020"	"Nebraska"	"31"	19549	1937552	1008.953566150
	"2020"	"2020"	"Nevada"	"32"	30618	3138259	975.636491443
	"2020"	"2020"	"New Hampshire"	"33"	13700	1366275	1002.726391100
	"2020"	"2020"	"New Jersey"	"34"	96003	8882371	1080.826279380
	"2020"	"2020"	"New Mexico"	"35"	23807	2106319	1130.265643523
	"2020"	"2020"	"New York"	"36"	203341	19336776	1051.576539957
	"2020"	"2020"	"North Carolina"	"37"	109449	10600823	1032.457574285
	"2020"	"2020"	"North Dakota"	"38"	8052	765309	1052.124044014
	"2020"	"2020"	"Ohio"	"39"	143700	11693217	1228.917585297
	"2020"	"2020"	"Oklahoma"	"40"	47809	3980783	1200.994879651
	"2020"	"2020"	"Oregon"	"41"	40220	4241507	948.247875107
	"2020"	"2020"	"Pennsylvania"	"42"	155546	12783254	1216.795035130
	"2020"	"2020"	"Rhode Island"	"44"	11819	1057125	1118.032399196
	"2020"	"2020"	"South Carolina"	"45"	61223	5218040	1173.294953661
	"2020"	"2020"	"South Dakota"	"46"	9861	892717	1104.605378860
	"2020"	"2020"	"Tennessee"	"47"	84205	6886834	1222.695363356
	"2020"	"2020"	"Texas"	"48"	250339	29360759	852.631227960
	"2020"	"2020"	"Utah"	"49"	21497	3249879	661.470780912
	"2020"	"2020"	"Vermont"	"50"	6459	623347	1036.180490160
	"2020"	"2020"	"Virginia"	"51"	80596	8590563	938.192293101
	"2020"	"2020"	"Washington"	"53"	63146	7693612	820.758832132
	"2020"	"2020"	"West Virginia"	"54"	26106	1784787	1462.695548544
	"2020"	"2020"	"Wisconsin"	"55"	62706	5832655	1075.085017029
	"2020"	"2020"	"Wyoming"	"56"	5983	582328	1027.427841354
	"2021 (provisional)"	"2021"	"Alabama"	"01"	68889	4921532	1399.747070628
	"2021 (provisional)"	"2021"	"Alaska"	"02"	6208	731158	849.064087379
	"2021 (provisional)"	"2021"	"Arizona"	"04"	81442	7421401	1097.393874822
	"2021 (provisional)"	"2021"	"Arkansas"	"05"	40072	3030522	1322.280452015
	"2021 (provisional)"	"2021"	"California"	"06"	333250	39368078	846.498018013
	"2021 (provisional)"	"2021"	"Colorado"	"08"	48281	5807719	831.324656031
	"2021 (provisional)"	"2021"	"Connecticut"	"09"	34333	3557006	965.221874801
	"2021 (provisional)"	"2021"	"Delaware"	"10"	11296	986809	1144.699734194
	"2021 (provisional)"	"2021"	"District of Columbia"	"11"	5833	712816	818.303741779
	"2021 (provisional)"	"2021"	"Florida"	"12"	261369	21733312	1202.619278645
	"2021 (provisional)"	"2021"	"Georgia"	"13"	112272	10710017	1048.289652575
	"2021 (provisional)"	"2021"	"Hawaii"	"15"	12815	1407006	910.799243216
	"2021 (provisional)"	"2021"	"Idaho"	"16"	18346	1826913	1004.207644261
	"2021 (provisional)"	"2021"	"Illinois"	"17"	125048	12587530	993.427622417
	"2021 (provisional)"	"2021"	"Indiana"	"18"	78317	6754953	1159.401109082
	"2021 (provisional)"	"2021"	"Iowa"	"19"	34215	3163561	1081.534384828
	"2021 (provisional)"	"2021"	"Kansas"	"20"	32029	2913805	1099.215630421
	"2021 (provisional)"	"2021"	"Kentucky"	"21"	60303	4477251	1346.875571640
	"2021 (provisional)"	"2021"	"Louisiana"	"22"	57533	4645318	1238.515856180
	"2021 (provisional)"	"2021"	"Maine"	"23"	17269	1350141	1279.051595352
	"2021 (provisional)"	"2021"	"Maryland"	"24"	58118	6055802	959.707731527
	"2021 (provisional)"	"2021"	"Massachusetts"	"25"	63115	6893574	915.562812556
	"2021 (provisional)"	"2021"	"Michigan"	"26"	117782	9966555	1181.772437919
	"2021 (provisional)"	"2021"	"Minnesota"	"27"	51640	5657342	912.796150560
	"2021 (provisional)"	"2021"	"Mississippi"	"28"	41085	2966786	1384.831935974
	"2021 (provisional)"	"2021"	"Missouri"	"29"	73847	6151548	1200.462062557
	"2021 (provisional)"	"2021"	"Montana"	"30"	12707	1080577	1175.945814135
	"2021 (provisional)"	"2021"	"Nebraska"	"31"	18925	1937552	976.747978893
	"2021 (provisional)"	"2021"	"Nevada"	"32"	32923	3138259	1049.084858834
	"2021 (provisional)"	"2021"	"New Hampshire"	"33"	14198	1366275	1039.175861375
